Park,Location,Feature(s)
McLean Playground,Between Bennington & Saratoga St. in East Boston,Basketball
Medal of Honor Park,Opposite 805 East Broadway in South Boston,"Spray Play, Playground"
Menino Park,Charlestown,"Playground, Spray Play"
Millennium Park,300 Gardner Str. in West Roxbury,Playground
Mirabella Pool,Central Boston,Basketball
Mission Hill Playground,60 Smith Str. in Jamaica Plain,"Spray Play, Players Bench, Bench"
Moakley Park,1187 Columbia Road in South Boston,"Basketball, Street Hockey, Players Bench, Playground, Tennis, Spray Play"
Monsignor Reynolds Playground,Corner of Wash. & Msgr. Reynolds in South End,Playground
Mozart Street Playground,28 Mozart Str. in Jamaica Plain,"Basketball, Playground"
Mt. Pleasant Play Area,30 Mt. Pleasant Ave. in Roxbury,"Playground, Basketball, Spray Play"
Myrtle Street Playground,Opposite 28 Phillips Str. in Back Bay/Beacon Hill,Playground
Nellie Miranda Memorial Park,Dorchester,Playground
Newland Street Park,"97 West Concord;  Playlot Entrance, 90HF Newland Street in South End",Playground
Noyes Playground,86 Boardman St. in East Boston,"Basketball, Playground, Spray Play, Players Bench"
O'Day Playground,"West Newton, San Juan, & Aquadilla Sts. in South End","Spray Play, Basketball, Players Bench, Street Hockey, Playground"
Olmsted Park,Mission Hill,Players Bench
Orton Field,"Crowley-Rogers Way, St Casimir St, Flaherty Way in South Boston","Playground, Basketball"
Paris Street Playground,121 Paris Str. in East Boston,"Playground, Basketball, Spray Play"
Parkman Playground,58 Wachusett Str. in Roslindale,"Spray Play, Players Bench, Basketball, Playground"
Penniman Road Play Area,25 Penniman Road in Allston-Brighton,"Basketball, Playground"
Peter Looney Park,127 Old Rutherford Ave. in Charlestown,"Spray Play, Playground, Basketball"
Peters Park,230 Shawmut Ave. in South End,"Handball, Tennis, Players Bench, Dog Park, Playground, Basketball"
Phillips Street Play Area,Phillips Str. in Back Bay/Beacon Hill,Playground
Polcari Park,Opposite 44 Prince Str. in Central Boston,Basketball
Portsmouth Street Playground,35 Portsmouth Str. in Allston-Brighton,"Playground, Basketball, Players Bench"
Porzio Park,14 Jeffries Str. in East Boston,"Tennis, Street Hockey, Basketball, Playground"
Puopolo Playground,521 Commercial Str. in Central Boston,"Spray Play, Players Bench"
Quincy/Stanley Play Area,Quincy Str. in Dorchester,"Playground, Spray Play"
Quincy Street Play Area,Opposite 70 Quincy Str. in Roxbury,Basketball
Ramsay Park,1917 Washington Str. in South End,"Tennis, Playground, Basketball, Skate Park, Spray Play, Players Bench"
Reservation Road Park,151 Res. Road in Hyde Park,"Skate Park, Players Bench"
Reverend Loesch Family Park,Opposite 21 Wainwright Str. in Dorchester,"Basketball, Spray Play, Playground"
Ringer Playground,Allston-Brighton,"Spray Play, Players Bench, Basketball, Playground, Tennis"
